first_card,secound_card,diller_card,take,take_card,result
10,6,10,0,0,0
6,7,7,1,9,0
6,10,10,0,0,0
4,4,6,1,11,1
9,3,5,0,0,0
10,3,10,1,10,0
2,9,6,1,7,1
11,7,7,1,5,1
11,7,10,0,0,1
9,10,8,0,0,1
6,8,10,1,3,1
8,3,10,1,10,1
10,6,11,0,0,0
7,3,10,1,5,0
6,7,3,0,0,0
4,10,10,1,2,0
3,4,10,1,9,0
10,4,4,1,10,0
10,8,4,0,0,1
7,5,7,1,5,0
6,10,7,0,0,0
5,3,9,1,11,0
3,4,9,1,10,0
5,6,11,1,10,1
10,11,11,0,0,1
9,10,10,0,0,0
2,10,10,1,10,0
2,8,8,1,10,1
10,6,8,0,0,0
8,5,8,1,10,0
10,5,8,1,10,0
10,5,8,1,10,0
4,2,8,1,11,1
10,5,4,1,10,0
3,4,4,1,16,0
10,6,4,1,6,0
9,2,2,1,10,1
10,10,2,0,0,1
10,2,2,1,10,0
11,10,10,0,0,1
10,10,10,0,0,1
10,10,10,0,0,1
8,8,10,0,0,1
11,10,10,0,0,1
11,10,3,0,0,1
4,7,3,1,6,1
5,10,3,1,10,1
10,8,7,0,0,1
10,10,7,0,0,1
7,10,7,0,0,1
10,10,5,1,10,0
9,2,2,1,15,0
8,10,2,0,0,0
3,10,2,1,7,1
4,9,10,1,2,0
10,10,10,0,0,1
11,10,10,0,0,1
10,9,10,0,0,0
5,8,10,1,6,0
10,20,7,1,5,0
11,13,7,1,22,0
3,3,7,1,17,0
3,11,11,0,0,0
10,6,10,0,0,0
6,9,10,0,0,0
11,10,8,0,0,1
10,4,8,1,10,0
4,5,10,1,13,0
8,10,10,0,0,1
10,4,10,1,4,1
2,3,9,1,15,1
6,11,9,0,0,1
10,5,9,0,0,1
3,8,6,1,10,1
10,10,6,0,0,1
10,4,6,1,4,1
10,10,5,0,0,1
9,8,5,0,0,0
10,5,5,0,0,0
5,4,5,1,9,1
10,3,5,1,9,0
7,10,5,0,0,1
4,5,11,0,0,0
5,2,11,0,0,0
2,11,11,0,0,0
10,10,6,0,0,1
8,5,6,1,9,0
8,6,11,0,0,0
10,2,11,0,0,0
10,5,2,1,8,0
2,4,2,1,9,1
2,9,10,1,10,1
11,9,10,0,0,1
10,2,10,1,4,0
2,10,8,1,10,0
10,7,8,0,0,0
10,3,8,1,7,1
4,5,9,1,9,1
6,11,9,1,10,1
10,8,9,0,0,1
9,2,4,1,10,1
9,2,6,1,9,1
9,2,10,1,5,1
10,10,10,1,5,0
10,10,10,1,2,0
10,10,10,1,6,0
10,10,9,1,9,0
10,10,10,0,0,1
10,2,10,1,9,1
10,2,10,1,10,0
10,2,10,1,7,0
10,2,10,1,5,1
10,2,10,1,9,1
10,2,10,1,9,1